,name,sector,positives,negatives,votes,rating
1490,Redcliffe Labs,Healthcare,"Salary & Benefits, Work Life Balance, Skill Development / Learning",nan,697,3.9
1491,Koch Business Solutions,IT Services & Consulting,nan,"Job Security, Promotions / Appraisal, Work Satisfaction",698,3.2
1492,Rentokil Pest Control,Facility Management Services,nan,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",697,3.6
1493,Turtlemint,Internet,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",697,3.6
1494,Genus Power Infrastructures,Electronics Manufacturing,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",696,3.9
1495,Samunnati,NBFC,"Company Culture, Work Life Balance, Work Satisfaction",nan,695,4.5
1496,Home First Finance Company India,NBFC,Salary & Benefits,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",695,3.5
1497,Bristlecone,IT Services & Consulting,Work Life Balance,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",694,3.6
1498,Evision Technoserve,Pune +44 other locations,"Company Culture, Work Life Balance, Work Satisfaction",nan,694,4.7
1499,Bahwan CyberTek,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Company Culture",692,3.4
1500,Raychem RPG,Electrical Equipment,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",693,3.7
1501,Amrit Cement,Building Material,"Work Life Balance, Skill Development / Learning",nan,692,3.9
1502,Gartner,Management Consulting,"Work Life Balance, Company Culture",Promotions / Appraisal,692,3.8
1503,Mynd Solutions Private,BPO,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",692,3.7
1504,URC Construction,Engineering & Construction,nan,"Promotions / Appraisal, Company Culture, Work Life Balance",692,3.7
1505,Visteon,Auto Components,nan,"Work Life Balance, Company Culture, Promotions / Appraisal",691,3.2
1506,Apple,Consumer Electronics & Appliances,"Company Culture, Work Life Balance, Skill Development / Learning",nan,690,4.3
1507,Y-Axis Overseas Careers,Other,"Work Life Balance, Skill Development / Learning, Work Satisfaction",nan,691,3.9
1508,Ramky Infrastructure,Engineering & Construction,"Job Security, Salary & Benefits, Company Culture",nan,689,4.2
1509,Lovely Professional University,Education & Training,nan,"Promotions / Appraisal, Work Satisfaction, Company Culture",688,3.3
1510,Razorpay,FinTech,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",690,3.4
1511,R.V.R. PROJECTS,Engineering & Construction,Salary & Benefits,Promotions / Appraisal,690,3.9
1512,Embibe,EdTech,nan,"Job Security, Promotions / Appraisal, Company Culture",687,3.4
1513,Goodyear,Auto Components,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",687,3.5
1514,Thriveni Earthmovers,Metals & Mining,"Job Security, Skill Development / Learning, Salary & Benefits",nan,687,4.0
1515,HSBC Bank,Banking,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,688,4.0
1516,HRH Next Services,BPO,nan,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",686,2.9
1517,Kurlon,Furniture & Furnishing,"Work Life Balance, Company Culture, Salary & Benefits",nan,686,4.3
1518,Eastman Auto and Power Limited,Electronics Manufacturing,"Salary & Benefits, Company Culture, Work Life Balance",nan,687,3.9
1519,Asb International,Industrial Machinery,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Satisfaction, Company Culture",686,3.6
1520,Csc E Governance Services,Government,Work Life Balance,"Promotions / Appraisal, Company Culture, Salary & Benefits",685,3.8
1521,Diebold Nixdorf,Software Product,nan,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",686,3.6
1522,Toppr,EdTech,nan,"Job Security, Promotions / Appraisal, Work Life Balance",685,3.4
1523,Transsion,Consumer Electronics & Appliances,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,685,4.0
1524,Bharat Serums and Vaccines,Pharma,"Company Culture, Work Life Balance, Skill Development / Learning",Promotions / Appraisal,685,4.0
1525,Cotiviti,Analytics & KPO,nan,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",683,3.6
1526,LEAP India Limited,Packaging,"Salary & Benefits, Company Culture, Work Life Balance",nan,683,4.6
1527,North East Small Finance Bank,Banking,nan,"Promotions / Appraisal, Job Security, Company Culture",683,3.6
1528,Titan Eye Plus,Other,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,682,4.1
1529,Vindhya Telelinks,Hardware & Networking,"Salary & Benefits, Work Life Balance","Promotions / Appraisal, Skill Development / Learning",682,4.0
1530,NSB Bpo Solutions,BPO,nan,"Promotions / Appraisal, Salary & Benefits, Job Security",682,2.9
1531,Doosan Power Systems,Power,"Company Culture, Work Life Balance, Work Satisfaction",Promotions / Appraisal,682,4.3
1532,Bayer Crop Science Vegetable Seeds,Bengaluru +138 other locations,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,681,4.1
1533,Micro Turners,Auto Components,nan,"Promotions / Appraisal, Salary & Benefits",682,3.8
1534,Infor Global Solution,Software Product,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",681,3.9
1535,Moglix,Internet,nan,"Job Security, Promotions / Appraisal, Work Satisfaction",681,3.3
1536,Orient Cement,Building Material,"Work Life Balance, Company Culture, Work Satisfaction",nan,679,4.4
1537,Flash Electronics,Electronics Manufacturing,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",679,3.6
1538,Radico Khaitan,Beverage,"Job Security, Work Life Balance, Company Culture",nan,679,4.1
1539,Caparo Engineering India,Auto Components,"Work Life Balance, Work Satisfaction, Job Security",Promotions / Appraisal,679,4.0
1540,Flash Electronics,Electronics Manufacturing,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",679,3.6
1541,TTK Prestige,Consumer Electronics & Appliances,Job Security,"Promotions / Appraisal, Work Satisfaction",678,3.8
1542,Office Beacon,BPO,"Company Culture, Job Security, Skill Development / Learning",nan,678,4.6
1543,Writer Corporation,Logistics,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",677,3.4
1544,Bisk Farm,Food Processing,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,677,4.0
1545,Patel Engineering,Engineering & Construction,"Job Security, Work Life Balance, Work Satisfaction",nan,676,4.1
1546,Ness Digital Engineering,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Company Culture",676,3.4
1547,Central Bank of India,Banking,"Work Life Balance, Skill Development / Learning",Promotions / Appraisal,676,3.9
1548,Cohesity,Software Product,"Work Life Balance, Company Culture, Salary & Benefits","Promotions / Appraisal, Job Security",676,3.9
1549,Testbook.com,EdTech,nan,"Job Security, Promotions / Appraisal, Work Life Balance",676,3.4
1550,CtrlS,IT Services & Consulting,Salary & Benefits,"Company Culture, Work Life Balance, Work Satisfaction",675,3.6
1551,Tredence,IT Services & Consulting,nan,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",675,3.4
1552,Neeyamo Enterprise Solutions,Pune +10 other locations,nan,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",674,3.6
1553,Livpure,Consumer Electronics & Appliances,nan,Promotions / Appraisal,674,3.9
1554,Solv,Internet,Salary & Benefits,"Job Security, Promotions / Appraisal, Company Culture",674,3.5
1555,Wuerth,Industrial Machinery,nan,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",674,3.5
1556,Wolters Kluwer,Software Product,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning",675,3.8
1557,IHG,Hospitality,nan,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",674,3.6
1558,PrimEra Medical Technologies,IT Services & Consulting,Job Security,"Promotions / Appraisal, Company Culture, Work Satisfaction",674,3.6
1559,TVS Electronics,Electronics Manufacturing,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",673,3.7
1560,Medtronic,Medical Equipment,"Company Culture, Work Life Balance, Salary & Benefits",Promotions / Appraisal,673,3.9
1561,Keventer,FMCG,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",673,3.8
1562,VRL Logistics,Logistics,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",673,3.7
1563,PPG Asian Paints,Chemicals,"Job Security, Salary & Benefits","Promotions / Appraisal, Work Satisfaction",672,3.9
1564,Government of India,Government,"Job Security, Work Life Balance, Work Satisfaction",nan,673,4.2
1565,Jubilant Ingrevia,Chemicals,"Work Life Balance, Job Security",Promotions / Appraisal,672,3.8
1566,Leverage Edu,EdTech,"Salary & Benefits, Company Culture, Work Satisfaction",nan,671,4.1
1567,Vizag Steel,Iron & Steel,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,670,4.0
1568,Snapdeal,Internet,"Company Culture, Work Life Balance","Promotions / Appraisal, Job Security, Salary & Benefits",671,3.8
1569,JSW Energy,Power,"Job Security, Salary & Benefits, Work Life Balance",Promotions / Appraisal,670,4.1
1570,ChannelPlay,Marketing & Advertising,Work Life Balance,Promotions / Appraisal,669,3.8
1571,Autoliv,Auto Components,"Job Security, Company Culture, Salary & Benefits",Promotions / Appraisal,669,4.0
1572,BASF,Chemicals,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,669,4.2
1573,Emami Agrotech,Food Processing,"Work Life Balance, Job Security",Promotions / Appraisal,669,3.9
1574,Blue Yonder,Software Product,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",669,3.6
1575,ReSource Pro,BPO,nan,nan,669,3.8
1576,NextComm Corporation,Software Product,"Work Life Balance, Company Culture, Work Satisfaction",nan,669,4.8
1577,Quess IT Staffing Solutions,Bengaluru +55 other locations,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",669,3.1
1578,DAV Public School,Education & Training,"Skill Development / Learning, Salary & Benefits",Promotions / Appraisal,668,4.0
1579,Nomura Holdings,Investment Banking / Venture Capital / Private Equity,Job Security,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",668,3.7
1580,Nephroplus,Healthcare,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",668,3.8
1581,Rane NSK Steering Systems,Auto Components,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,667,4.0
1582,Bridgestone - Global Capability Center,Auto Components,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,667,4.0
1583,Future Supply Chain Solutions,Logistics,"Company Culture, Work Satisfaction, Skill Development / Learning",nan,666,4.4
1584,Surya Roshni,Building Material,"Work Life Balance, Job Security, Company Culture",nan,666,4.1
1585,L&T Power,Power,"Job Security, Skill Development / Learning","Promotions / Appraisal, Work Life Balance",666,3.9
1586,Redington,Hardware & Networking,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,666,4.0
1587,Dodla Dairy,Food Processing,"Work Life Balance, Job Security, Company Culture",nan,666,4.2
1588,Lohia Corp,Industrial Machinery,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,665,4.0
1589,Quislex Legal Services,Legal,"Company Culture, Work Life Balance, Work Satisfaction",nan,664,4.0
1590,SG Analytics,Analytics & KPO,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",664,2.6
1591,YOKOGAWA,Industrial Automation,Job Security,"Promotions / Appraisal, Salary & Benefits",664,3.8
1592,Dhanuka Agritech,Agro Chemicals,nan,"Promotions / Appraisal, Work Satisfaction",664,3.7
1593,Orient Technologies,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",664,3.7
1594,EPL Limited,Packaging,"Job Security, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",662,3.8
1595,Lionbridge Technologies,Content Development,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",663,3.6
1596,Housing.com,Internet,Salary & Benefits,"Promotions / Appraisal, Job Security, Work Satisfaction",661,3.6
1597,R.S. Infraprojects,Engineering & Construction,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,660,4.0
1598,Kutumbh Care,Recruitment,"Work Life Balance, Company Culture, Work Satisfaction",Promotions / Appraisal,659,4.0
1599,TransUnion,Financial Services,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning",659,3.6
1600,Kissht Finance,FinTech,"Salary & Benefits, Work Life Balance",nan,659,3.9
1601,Osource Global,BPO,nan,"Promotions / Appraisal, Salary & Benefits, Work Life Balance",660,3.5
1602,Triveni Engineering & Industries,Food Processing,"Job Security, Work Life Balance, Salary & Benefits",nan,658,4.1
1603,Technotask Business Solutions,BPO,nan,"Promotions / Appraisal, Salary & Benefits, Job Security",675,3.5
1604,Mahindra Integrated Business Solutions,BPO,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",657,3.4
1605,MPS Limited,Content Development,nan,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",657,3.5
1606,Capco Technologies,IT Services & Consulting,Work Life Balance,"Promotions / Appraisal, Job Security",656,3.7
1607,Qatar Airways,Aviation,Salary & Benefits,"Promotions / Appraisal, Company Culture, Work Life Balance",655,3.5
1608,Shalby Hospitals,Healthcare,"Work Life Balance, Skill Development / Learning, Company Culture",nan,655,4.2
1609,Cogoport,Internet,nan,"Job Security, Company Culture, Promotions / Appraisal",655,3.2
1610,Progressive Infovision,Recruitment,Work Life Balance,Promotions / Appraisal,655,3.9
1611,Videocon d2h,Internet,"Skill Development / Learning, Company Culture, Work Life Balance",nan,654,3.8
1612,Vasudha Pharma Chem,Pharma,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,654,4.0
1613,Licious,Internet,nan,"Promotions / Appraisal, Job Security, Salary & Benefits",653,3.7
1614,Saint Gobain Glass,Building Material,"Job Security, Company Culture, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",653,3.8
1615,Optimum Infosystem,IT Services & Consulting,nan,"Job Security, Promotions / Appraisal, Skill Development / Learning",652,3.3
1616,PeopleStrong,Recruitment,nan,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",652,3.4
1617,Corteva Agriscience,Agro Chemicals,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,653,4.2
1618,Ingram Micro,IT Services & Consulting,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",651,3.6
1619,Celebi Aviation Holding,Aviation,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,651,4.0
1620,Celebi Aviation Holding,Aviation,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,651,4.0
1621,Epicenter Technologies,BPO,nan,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",651,3.4
1622,Tejas Networks,Hardware & Networking,nan,Promotions / Appraisal,650,3.8
1623,Wissen Infotech,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Skill Development / Learning",650,3.6
1624,Neurealm,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",650,3.4
1625,Sandvik Asia,Industrial Machinery,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,649,4.0
1626,Healthians,Internet,"Work Life Balance, Work Satisfaction, Skill Development / Learning",nan,649,4.1
1627,SMC Global Securities,Financial Services,nan,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",648,3.4
1628,PCBL Chemical Limited,Petrochemicals,"Salary & Benefits, Job Security, Skill Development / Learning",nan,648,4.0
1629,Indorama,Agro Chemicals,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,647,3.9
1630,JoulestoWatts Business Solutions,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Company Culture",647,3.5
1631,Elite Elevators,Industrial Machinery,"Salary & Benefits, Work Satisfaction, Skill Development / Learning",nan,649,4.1
1632,HCL Healthcare,Healthcare,"Company Culture, Work Life Balance, Work Satisfaction",nan,646,4.6
1633,BankBazaar,FinTech,nan,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",645,3.3
1634,CJ Darcl Logistics Limited,Logistics,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,644,4.0
1635,Marlabs,IT Services & Consulting,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning",644,3.5
1636,TIAA Global Business Services,Financial Services,"Work Life Balance, Salary & Benefits","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",644,3.7
1637,Data Entry,BPO,"Company Culture, Work Satisfaction, Skill Development / Learning",nan,643,4.3
1638,DeHaat,Internet,nan,"Job Security, Promotions / Appraisal",644,3.6
1639,Welspun World,Building Material,nan,"Promotions / Appraisal, Company Culture, Work Life Balance",643,3.6
1640,Magic Edtech,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Salary & Benefits",643,3.6
1641,TCI Express,Logistics,"Job Security, Work Life Balance, Skill Development / Learning",nan,642,3.9
1642,My Home Industries,Building Material,"Work Life Balance, Company Culture, Job Security",nan,642,4.0
1643,Yatra,Travel & Tourism,nan,"Promotions / Appraisal, Skill Development / Learning, Company Culture",641,3.3
1644,Fiat India Automobiles,Automobile,nan,"Promotions / Appraisal, Company Culture, Work Life Balance",641,3.6
1645,Sintex BAPL,Petrochemicals,Salary & Benefits,"Promotions / Appraisal, Job Security, Company Culture",641,3.6
1646,Magic Bus India Foundation,Non-Profit,nan,"Promotions / Appraisal, Job Security",641,3.8
1647,CSC,Financial Services,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",642,3.6
1648,Forbes Marshall,Industrial Machinery,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,640,3.9
1649,Tata Power Delhi Distribution,Power,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",639,3.8
1650,Quality Austria Central Asia,Other,nan,"Promotions / Appraisal, Salary & Benefits, Job Security",639,3.5
1651,Nihilent,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Company Culture",639,3.2
1652,Krsnaa Diagnostics,Healthcare,nan,"Promotions / Appraisal, Salary & Benefits, Company Culture",639,3.6
1653,Centaur Pharmaceuticals,Pharma,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",638,3.5
1654,Uno Mindarika,Auto Components,"Job Security, Skill Development / Learning",Promotions / Appraisal,638,4.0
1655,Alshaya Group,Retail,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning",636,3.8
1656,Times Group,Printing & Publishing,Work Life Balance,Promotions / Appraisal,635,3.8
1657,Talentpro,Recruitment,nan,Promotions / Appraisal,635,3.8
1658,Pennar Industries,Engineering & Construction,nan,"Promotions / Appraisal, Salary & Benefits, Company Culture",634,3.4
1659,Shivalik Small Finance Bank,Banking,Skill Development / Learning,Promotions / Appraisal,633,3.8
1660,NICE,Software Product,nan,"Promotions / Appraisal, Work Satisfaction, Job Security",633,3.5
1661,Narayana e-Techno School,Education & Training,nan,"Promotions / Appraisal, Company Culture, Work Life Balance",634,3.7
1662,The Lalit,Hospitality,nan,"Promotions / Appraisal, Salary & Benefits, Company Culture",633,3.5
1663,Inspirisys Solution,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits",633,3.7
1664,Encore Capital Group,IT Services & Consulting,"Company Culture, Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",631,3.9
1665,Carrier,Industrial Machinery,Work Life Balance,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",631,3.7
1666,ICA Edu Skills,Education & Training,"Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Job Security, Salary & Benefits",631,3.8
1667,Ramboll,Engineering & Construction,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,630,4.0
1668,GKN,Industrial Automation,Work Life Balance,Promotions / Appraisal,629,3.8
1669,ANAROCK Property Consultants,Real Estate,nan,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",629,3.6
1670,Philips Innovation Campus,Software Product,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning",629,3.7
1671,Continental,Auto Components,Work Life Balance,"Promotions / Appraisal, Job Security, Work Satisfaction",629,3.6
1672,Khazana Jewellery,Jewellery,Skill Development / Learning,Promotions / Appraisal,629,3.9
1673,Welspun Corp,Iron & Steel,"Skill Development / Learning, Company Culture",Promotions / Appraisal,629,4.0
1674,Kaar Tech,IT Services & Consulting,"Skill Development / Learning, Job Security, Company Culture",nan,632,4.3
1675,Ferrero,Food Processing,"Salary & Benefits, Skill Development / Learning, Job Security",Promotions / Appraisal,628,3.9
1676,NRB Bearings,Auto Components,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,626,4.1
1677,Corporate Infotech,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits",626,3.7
1678,3M,Electronics Manufacturing,"Company Culture, Work Life Balance, Salary & Benefits","Promotions / Appraisal, Job Security",625,4.0
1679,bp,Oil & Gas,"Work Life Balance, Salary & Benefits","Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",626,3.7
1680,Surin Automotive,Industrial Machinery,"Salary & Benefits, Job Security",nan,625,3.8
1681,NoBrokerHood,Software Product,nan,"Job Security, Work Satisfaction, Company Culture",625,2.8
1682,Mount Litera Zee School,Education & Training,nan,"Promotions / Appraisal, Job Security, Salary & Benefits",625,3.7
1683,Crowne Plaza,Hospitality,"Job Security, Company Culture, Skill Development / Learning",nan,625,4.1
1684,Vikram Solar,Power,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",624,3.6
1685,InternEzy,EdTech,"Company Culture, Work Life Balance, Work Satisfaction",nan,624,4.9
1686,Electrotherm,Iron & Steel,"Job Security, Work Life Balance, Work Satisfaction",nan,624,4.2
1687,Impetus Technologies,IT Services & Consulting,nan,"Work Satisfaction, Promotions / Appraisal, Company Culture",623,3.3
1688,B.L. Kashyap & Sons,Engineering & Construction,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits",623,3.8
1689,Hetero Healthcare,Pharma,nan,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",623,3.6
1690,Me n Moms,Retail,"Skill Development / Learning, Company Culture, Work Life Balance",nan,623,4.2
1691,Karvy Stock Broking,Hyderabad +106 other locations,nan,"Promotions / Appraisal, Work Life Balance, Company Culture",622,3.6
1692,Gainwell Commosales,Industrial Machinery,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal,622,4.0
1693,Varthana,NBFC,"Company Culture, Work Life Balance, Salary & Benefits",nan,621,4.0
1694,Ebixcash Global Services,BPO,nan,"Promotions / Appraisal, Salary & Benefits, Job Security",622,3.2
1695,MAQ Software,IT Services & Consulting,nan,"Company Culture, Work Life Balance, Work Satisfaction",621,3.3
1696,FCC Clutch,Auto Components,"Work Life Balance, Job Security",Promotions / Appraisal,622,3.9
1697,Tecnimont,Engineering & Construction,"Job Security, Salary & Benefits",Promotions / Appraisal,620,3.9
1698,TDS Lithium-Ion Battery,Auto Components,"Company Culture, Work Life Balance, Skill Development / Learning",nan,620,4.2
1699,Turbo Energy,Auto Components,"Work Satisfaction, Skill Development / Learning, Company Culture",Promotions / Appraisal,619,4.2
1700,TVS Eurogrip,Auto Components,nan,"Promotions / Appraisal, Company Culture, Job Security",619,3.7
1701,Danfoss Industries,Industrial Machinery,"Work Life Balance, Company Culture",Promotions / Appraisal,618,3.9
1702,RealPage,Software Product,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",619,3.6
1703,Manjushree Technopack,Bengaluru +34 other locations,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",617,3.5
1704,ExportersIndia,Internet,"Company Culture, Work Life Balance, Work Satisfaction",nan,618,4.9
1705,Trigent Software,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",617,3.4
1706,NetConnectGlobal,IT Services & Consulting,nan,"Promotions / Appraisal, Job Security, Skill Development / Learning",617,3.1
1707,Avalon Technologies,Electronics Manufacturing,"Skill Development / Learning, Job Security","Promotions / Appraisal, Salary & Benefits",617,3.8
1708,UKB Electronics Limited,Electronics Manufacturing,nan,"Job Security, Company Culture, Work Satisfaction",617,3.6
1709,Suroj Buildcon,Engineering & Construction,"Company Culture, Job Security, Salary & Benefits",nan,617,4.1
1710,Finova Capital,NBFC,Salary & Benefits,nan,617,3.8
1711,Reliance Jewels,Jewellery,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,616,3.8
1712,Careon Healthcare Solutions,Medical Equipment,"Company Culture, Work Life Balance, Job Security",Promotions / Appraisal,637,3.9
1713,Suraksha Diagnostic,Healthcare,Skill Development / Learning,Promotions / Appraisal,615,3.7
1714,Sir H. N. Reliance Foundation Hospital and Research,Healthcare,"Skill Development / Learning, Job Security, Salary & Benefits",nan,615,4.3
1715,Geojit Financial Services,Financial Services,nan,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",614,3.4
1716,South Indian Bank,Banking,"Salary & Benefits, Job Security","Work Life Balance, Work Satisfaction, Company Culture",615,3.3
1717,Varun Motors,Automobile,Job Security,"Promotions / Appraisal, Salary & Benefits",614,3.8
1718,Global Healthcare Billing Partners,BPO,nan,"Promotions / Appraisal, Company Culture, Work Satisfaction",614,3.4
1719,Hitachi Systems Micro Clinic,IT Services & Consulting,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,613,4.0
1720,Pyramid IT Consulting,Recruitment,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",613,3.0
1721,Shivam Autotech,Auto Components,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits",613,3.6
1722,Revolut,FinTech,Salary & Benefits,"Job Security, Work Satisfaction, Company Culture",613,2.6
1723,BDO RISE Private Limited,Accounting & Auditing,nan,"Promotions / Appraisal, Salary & Benefits",612,3.6
1724,Collegedunia,Internet,nan,"Job Security, Promotions / Appraisal, Work Satisfaction",612,3.0
1725,National Stock Exchange of India,Financial Services,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",612,3.6
1726,Kajaria Ceramics,Building Material,"Work Life Balance, Salary & Benefits","Promotions / Appraisal, Skill Development / Learning",611,3.9
1727,Dr. Batras' Positive Health Clinic,Healthcare,nan,"Promotions / Appraisal, Salary & Benefits",611,3.7
1728,Emids Technologies Limited,IT Services & Consulting,nan,"Job Security, Promotions / Appraisal, Work Satisfaction",611,3.6
1729,Airports Authority of India,Aviation,"Work Life Balance, Work Satisfaction, Job Security",nan,610,4.2
1730,Sapphire Foods India,Hospitality,Skill Development / Learning,nan,610,3.8
1731,Okaya Power,Electrical Equipment,nan,Promotions / Appraisal,610,3.7
1732,Chaitanya India Fin Credit,NBFC,"Company Culture, Skill Development / Learning, Work Life Balance",nan,610,4.0
1733,Maharashtra Seamless,Building Material,Job Security,"Promotions / Appraisal, Company Culture, Salary & Benefits",610,3.5
1734,Kaizen IT Services,IT Services & Consulting,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,610,3.9
1735,Netmeds.com,Pharma,Work Life Balance,"Promotions / Appraisal, Job Security",610,3.8
1736,Monte Carlo,Fashion & Textile,"Work Life Balance, Salary & Benefits, Company Culture",nan,609,4.2
1737,Annalect,Marketing & Advertising,nan,"Promotions / Appraisal, Job Security, Work Satisfaction",610,3.4
1738,Nucleus Software Exports,Software Product,Job Security,"Work Satisfaction, Promotions / Appraisal, Skill Development / Learning",609,3.4
1739,ThoughtWorks,IT Services & Consulting,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,609,3.9
1740,Suma Soft,IT Services & Consulting,nan,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",609,3.5
1741,CSM Technologies,IT Services & Consulting,"Work Life Balance, Job Security",nan,609,4.0
1742,ACKO,Insurance,nan,"Promotions / Appraisal, Job Security, Skill Development / Learning",609,3.5
1743,Sigma Engineered Solutions,Industrial Machinery,"Company Culture, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",609,3.9
1744,Shriram Automall,Internet,"Job Security, Company Culture, Work Life Balance",nan,608,4.0
1745,IDBI Intech Limited,IT Services & Consulting,Job Security,"Promotions / Appraisal, Salary & Benefits, Company Culture",608,3.2
